"代號","名稱","成交","漲跌幅","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","5日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","21W46外資買賣超張數","21W46外資買賣超佔成交(%)","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價"
="0050","元大台灣50","141.65","+0.32","135.2","130.2","129.7","113.15","+0.82","+4.27","+5","+7.8","+24.7","+12,834","+35","141.7","143.5","143.5","143.5"
="0056","元大高股息","32.71","+0.37","30.59","30.59","30.59","28.81","+1.14","+1.08","-1.09","-4.08","+13.5","+13,103","+8.64","32.71","33.59","36.05","36.17"
"00642U","期元大S&P石油","14","-1.27","13.85","10.86","10.54","7.5","-4.04","-3.25","+21.2","+26.9","+84.7","+1,341","+4","14.75","14.75","14.75","14.75"
="00692","富邦公司治理","35.06","+0.2","34.9","33.51","33.21","28.25","-4.02","+0.2","+1.24","+4.1","+23.9","-991","-5.91","36.78","36.78","36.78","36.78"
="00713","元大台灣高息低波","46.04","+0.7","43.74","42.37","40.5","33.64","+2.02","+4.66","+6.87","+12.5","+30.1","-1,282","-3.2","46.06","46.06","46.06","46.06"
"00715L","期街口布蘭特正2","11.15","-2.28","10.99","7.04","6.75","3.46","-6.77","-8.91","+42.6","+51.1","+215","-2,053","-1.2","12.27","12.29","12.29","12.29"
="00731","FH富時高息低波","62.2","+2.89","60.5","56.6","55.9","46.6","-0.08","+1.8","+7.15","+9.89","+32.8","0","0","64.8","64.8","64.8","64.8"
="00878","國泰永續高股息","18.65","+0.38","18.14","17.35","17.35","15.1","-0.21","+2.59","+4.42","+4.31","+23.3","+719","+0.86","18.88","18.88","18.88","19.28"
="1303","南亞","85.6","-0.35","83.9","81.6","80.3","64.2","+0.47","-3.28","-1.5","+4.65","+31.7","+3,436","+7.75","89.9","93.1","93.1","93.1"
="1316","上曜","19.4","+3.47","13.9","11.3","10.8","10.05","+2.37","+38.6","+62.3","+74.8","+67.2","-4,803","-2.67","20.2","20.2","20.2","20.2"
="1560","中砂","90.5","+1","69.6","62.5","61.3","57.6","+8.38","+29.1","+40.5","+46.4","+50.8","+740","+4.56","90.9","90.9","90.9","90.9"
="1709","和益","24","+5.26","20.15","18.65","17.2","13.85","+10.1","+15.9","+19.4","+37.1","+66.7","+16,281","+38.6","24.3","24.3","24.3","24.3"
="1722","台肥","67.8","-1.31","66.8","55.1","54.7","49.95","-5.44","+0.15","+16.9","+21.7","+26.5","-1,903","-4.86","73.2","73.2","73.2","73.2"
="1725","元禎","38.75","+1.44","25","19.7","17.8","14.15","+16.7","+38.6","+93.8","+103","+171","+142","+0.51","42.5","42.5","42.5","42.5"
="1785","光洋科","56.2","+0.9","49.7","45.25","42.8","39.1","+7.46","+9.34","+23","+26.6","+18.9","+3,028","+3.19","58.9","58.9","58.9","62.4"
="1810","和成","16.75","+9.84","12.6","10.3","10.2","8.9","+7.37","+31.9","+55.1","+55.1","+83.7","-611","-1.88","16.75","16.75","16.75","16.75"
="2221","大甲","45","+4.53","33","32.25","23.2","22.5","+28.9","+33.1","+9.36","+86.3","+92.3","-450","-9.42","45.55","49.5","49.5","49.5"
="2301","光寶科","62","-0.96","60.2","56.6","56.1","48","+1.31","-4.32","+5.98","0","+28.4","-4,554","-25.3","63.5","65.8","67.3","67.9"
="2314","台揚","90.7","-4.53","65.4","46.4","31.25","23.5","+16","+29.6","+78.5","+183","+286","-3,508","-6.95","96.5","96.5","96.5","96.5"
="2338","光罩","104.5","-0.95","78","69.3","69.3","32.8","+12.6","+35.7","+37.1","+42","+215","+2,062","+1.89","111","111","114","114"
="2340","光磊","48.95","+10","31.65","29.3","24.1","21.85","+15.7","+54.9","+55.6","+100","+92","-15,753","-12.6","50.4","50.4","50.4","50.4"
="2347","聯強","57.2","-1.89","51.8","50.5","49.8","43.1","-1.04","+9.79","+9.37","-1.55","+32.4","-404","-1.59","58.8","58.8","62.3","62.3"
="2356","英業達","26.85","-0.56","26","23.55","23.1","22.65","+1.9","+1.51","+13.1","+6.97","+17.5","+6,343","+22.6","27.1","27.1","27.6","28"
