"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價"
="0050","元大台灣50","141.65","+0.32","+0.5","+1.4","+0.82","+3.7","+4.27","+5","+7.8","+24.7","135.2","130.2","129.7","113.15"
="0056","元大高股息","32.71","+0.37","+0.86","+1.58","+1.14","+2.96","+1.08","-1.09","-4.08","+13.5","30.59","30.59","30.59","28.81"
"00642U","期元大S&P石油","14","-1.27","-0.14","-0.92","-4.04","-2.91","-3.25","+21.2","+26.9","+84.7","13.85","10.86","10.54","7.5"
="00692","富邦公司治理","35.06","+0.2","+0.31","-3.76","-4.02","-1.38","+0.2","+1.24","+4.1","+23.9","34.9","33.51","33.21","28.25"
="00713","元大台灣高息低波","46.04","+0.7","+0.77","+1.59","+2.02","+3.72","+4.66","+6.87","+12.5","+30.1","43.74","42.37","40.5","33.64"
"00715L","期街口布蘭特正2","11.15","-2.28","-0.18","-1.33","-6.77","-5.59","-8.91","+42.6","+51.1","+215","10.99","7.04","6.75","3.46"
="00731","FH富時高息低波","62.2","+2.89","-1.58","+0.48","-0.08","+2.3","+1.8","+7.15","+9.89","+32.8","60.5","56.6","55.9","46.6"
="00878","國泰永續高股息","18.65","+0.38","+0.43","-0.43","-0.21","+1.3","+2.59","+4.42","+4.31","+23.3","18.14","17.35","17.35","15.1"
="1303","南亞","85.6","-0.35","-0.35","-0.47","+0.47","+1.06","-3.28","-1.5","+4.65","+31.7","83.9","81.6","80.3","64.2"
="1316","上曜","19.4","+3.47","+3.19","+7.18","+2.37","+31.5","+38.6","+62.3","+74.8","+67.2","13.9","11.3","10.8","10.05"
="1560","中砂","90.5","+1","+2.84","+8.77","+8.38","+13.7","+29.1","+40.5","+46.4","+50.8","69.6","62.5","61.3","57.6"
="1709","和益","24","+5.26","+5.26","+4.8","+10.1","+17.9","+15.9","+19.4","+37.1","+66.7","20.15","18.65","17.2","13.85"
="1722","台肥","67.8","-1.31","-2.45","-4.24","-5.44","+0.44","+0.15","+16.9","+21.7","+26.5","66.8","55.1","54.7","49.95"
="1725","元禎","38.75","+1.44","-1.27","+8.54","+16.7","+51.4","+38.6","+93.8","+103","+171","25","19.7","17.8","14.15"
="1785","光洋科","56.2","+0.9","-0.88","+3.88","+7.46","+6.64","+9.34","+23","+26.6","+18.9","49.7","45.25","42.8","39.1"
="1810","和成","16.75","+9.84","+15.9","+13.9","+7.37","+16.7","+31.9","+55.1","+55.1","+83.7","12.6","10.3","10.2","8.9"
="2221","大甲","45","+4.53","+14.9","+16.1","+28.9","+31.8","+33.1","+9.36","+86.3","+92.3","33","32.25","23.2","22.5"
="2301","光寶科","62","-0.96","+0.32","+0.81","+1.31","+0.32","-4.32","+5.98","0","+28.4","60.2","56.6","56.1","48"
="2314","台揚","90.7","-4.53","+2.25","+12.4","+16","+23.1","+29.6","+78.5","+183","+286","65.4","46.4","31.25","23.5"
="2338","光罩","104.5","-0.95","+0.48","+10.1","+12.6","+16.1","+35.7","+37.1","+42","+215","78","69.3","69.3","32.8"
="2340","光磊","48.95","+10","+8.78","+15.2","+15.7","+11.1","+54.9","+55.6","+100","+92","31.65","29.3","24.1","21.85"
="2347","聯強","57.2","-1.89","-1.04","-1.04","-1.04","+2.14","+9.79","+9.37","-1.55","+32.4","51.8","50.5","49.8","43.1"
="2356","英業達","26.85","-0.56","+0.75","+1.32","+1.9","+2.29","+1.51","+13.1","+6.97","+17.5","26","23.55","23.1","22.65"
="2368","金像電","76.6","+0.66","-0.65","+5.08","+10.5","+10.7","+19.7","+19.3","+50.8","+68.5","64.2","59.1","48.85","38.65"
="2371","大同","34.8","+5.3","+9.95","+7.41","+6.26","+3.57","-1.28","+35.7","+49","+77.6","31.2","25.5","22.9","18.7"
