"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價"
="0050","元大台灣50","142.45","+0.56","+0.89","+1.06","+2.3","+4.63","+4.02","+8.08","+9.16","+24.6","135.2","130.2","130.2","113.3"
="0056","元大高股息","32.98","+0.83","+1.2","+1.7","+2.58","+3.52","+1.79","+2.04","-2.6","+14.1","30.59","30.59","30.59","28.83"
"00642U","期元大S&P石油","13.64","-2.57","-3.81","-2.71","-4.08","-2.29","-4.68","+22.7","+25.8","+81.4","13.57","10.86","10.54","7.53"
="00692","富邦公司治理","35.31","+0.71","+0.91","+1.03","-2.78","-0.37","0","+4.22","+5.53","+23.9","34.9","33.51","33.51","28.33"
="00713","元大台灣高息低波","46.25","+0.46","+1.16","+1.23","+2.37","+4.05","+5.11","+8.59","+13.7","+30.5","43.74","42.37","40.91","33.64"
="00731","FH富時高息低波","59.05","-5.06","-2.32","-6.57","-4.76","-2.96","-3.04","+3.32","+5.16","+25.5","58.65","56.6","56.15","46.86"
="00878","國泰永續高股息","18.77","+0.64","+1.02","+1.08","+0.54","+1.9","+3.19","+6.89","+5.57","+23.3","18.15","17.35","17.35","15.16"
="1303","南亞","86","+0.47","+0.12","+0.12","+0.82","+1.06","-3.26","+2.38","+5.52","+31.3","83.9","81.6","80.3","64.2"
="1316","上曜","20.2","+4.12","+7.73","+7.45","+8.02","+36.5","+45.3","+76.4","+85.3","+73.4","13.9","11.3","10.9","10.05"
="1560","中砂","88.8","-1.88","-0.89","+0.91","+6.6","+7.64","+25.1","+40.1","+44.2","+47.5","70.7","62.5","61.8","57.6"
="1611","中電","15.85","+9.69","+11.6","+11.6","+14.4","+8.56","+56.2","+58.7","+51.7","+40.9","10.05","9.95","9.95","9.48"
="1709","和益","24.25","+1.04","+6.36","+6.36","+9.48","+18.9","+11.5","+21.9","+39","+68.4","20.15","18.65","17.35","13.85"
="1722","台肥","69","+1.77","+0.44","-0.72","-3.36","+2.37","-1.43","+20.8","+25.5","+28.7","66.8","55.1","54.7","49.95"
="1810","和成","16.75","0","+9.84","+15.9","+11.3","+14.3","+28.8","+60.3","+61.1","+83.1","12.6","10.3","10.2","8.9"
="2301","光寶科","61.7","-0.48","-1.44","-0.16","+0.65","+1.15","-0.64","+8.44","-1.44","+27.1","60.2","56.9","56.1","48"
