"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一年最高股價"
="0050","元大台灣50","138.15","0","-1.64","-1.67","-3.02","-1.99","+1.73","-0.97","+0.77","+20.5","136.15","130.9","130.2","113.3","143.55"
="006208","富邦台50","77.8","-0.38","-1.83","-1.83","-3.11","-1.83","-0.45","-2.93","-1.39","+20.7","77.6","75.45","74.8","63.65","82.35"
"00631L","元大台灣50正2","131.1","-0.19","-3.85","-3.85","-6.06","-4.06","+4.09","-0.53","+7.46","+65.4","126.85","114.4","114.4","77.3","141.3"
="00692","富邦公司治理","34.24","-0.35","-1.83","-1.78","-2.98","-2.03","-2.81","-4.73","-2.45","+19.4","34.07","33.82","33.51","28.38","36.78"
="00712","FH富時不動產","14.06","-0.42","-1.19","-0.5","-0.78","-2.56","-2.02","-2.02","-2.63","+11","13.98","13.82","13.74","12.15","15.21"
="00757","統一FANG+","52.9","-0.38","-1.31","-0.47","-2.49","-2.58","+0.38","+6.37","+15.9","+30.3","52.7","46.9","44.89","40.82","55.2"
="00876","元大未來關鍵科技","31.95","-0.56","-1.99","-1.72","-3.5","-1.02","+8.12","+7.76","+11.6","+29","29.74","27.93","27.93","24.99","33.24"
="00878","國泰永續高股息","18.4","-0.49","-1.71","-1.45","-1.81","-0.92","+0.44","+1.55","+0.38","+19.2","18.25","17.77","17.35","15.34","19.28"
="1529","樂士","18.15","+4.61","+5.22","+4.31","+4.61","+9.67","+14.5","+9.01","+7.08","+3.71","15.9","15.55","15.1","14.85","19.95"
="1560","中砂","86.3","-1.37","-3.03","-5.89","-1.6","-1.93","+14.2","+21.7","+33.8","+43.1","76","65.4","62.2","57.6","94.3"
="1570","力肯","23.55","-9.25","-0.21","+1.73","+11.9","+17.8","+15.2","+31.6","+41.9","+80.5","19.4","16.35","15.5","12.75","25.95"
="1709","和益","23.7","+1.5","-1.86","-1.86","-1.04","+3.95","+16.2","+23.8","+25.4","+61.8","20.15","18.65","18.65","13.85","25.45"
="1712","興農","28","-2.78","-2.1","+1.08","+1.27","+9.37","+15","+23.3","+29","+34.9","24.15","22.55","21.65","20.25","28.95"
="1722","台肥","68.5","-2.84","-2.56","-2.97","-0.58","-1.44","+0.88","+23.2","+23.6","+27.1","66.8","55.1","55.1","49.95","73.2"
="2347","聯強","57.9","0","-3.82","-1.36","+0.87","+0.17","+7.62","+9.45","-3.18","+28.8","53.9","50.5","49.8","44.2","62.3"
="2356","英業達","26.05","+0.97","+0.19","+0.39","-0.19","-2.25","-1.88","+6.98","+0.77","+11.6","25.5","24.05","23.1","22.65","28"
="2374","佳能","23.5","-4.08","+1.73","+11.9","+13","+21.1","+20.2","+54.1","+54.1","+69.7","18.55","14.45","14.45","13.45","25.2"
="2383","台光電","280","+2.75","+3.9","+14.3","+20.2","+19.7","+16.4","+21.7","+70.7","+78.3","226.5","200","157","141.5","280.5"
="2412","中華電","112.5","-0.44","-0.88","-0.88","0","-0.44","+1.81","+1.35","-0.88","+2.74","110","110","109","108","118.5"
="2455","全新","153","+5.52","+4.79","+2.34","+4.79","+13.3","+8.9","+20.5","+34.8","+67.6","130","110.5","109.5","89.6","155"
="2497","怡利電","60.4","+1","+11","+22","+26.8","+49.7","+58.1","+71.8","+107","+113","37.15","28.6","27.7","25.4","62.7"
="2537","聯上發","10.35","-0.48","-3.27","-1.9","-2.36","-5.91","+6.15","+8.49","+13.4","-1.9","9.65","9.3","8.98","7.92","11.15"
="2538","基泰","14.05","-2.09","-4.1","0","+6.84","+6.84","+7.25","+6.44","+40.5","+25.4","12.35","11.3","9.8","9.2","14.9"
="2542","興富發","46.45","-0.75","-1.38","-0.85","-0.21","-2.52","+3.34","-2","+10.3","+5.93","44.4","44.15","41.25","40.4","49.8"
="2633","台灣高鐵","29.5","-1.83","-3.59","-1.5","-0.67","+1.2","+1.55","-1.67","+0.17","-5.6","28.8","28.2","28.2","26.8","31.8"
="2634","漢翔","29.2","-2.01","-3.95","-4.42","-3.95","+0.69","+3.55","+0.69","+4.85","+0.86","28.2","27.2","27.2","25.45","32.1"
="2801","彰銀","16.7","-0.89","-2.91","-2.34","-2.91","-1.18","+1.83","+1.52","-0.89","-6.18","16.4","16.1","15.95","15.95","18.3"
="2809","京城銀","40.35","-1.1","-1.47","-1.71","-2.18","-2.06","-2.77","-9.33","-1.82","+3.99","40.15","40.15","39.25","37.55","44.6"
="2812","台中銀","11.95","-0.83","-1.24","-1.24","-1.24","-0.42","0","+4.37","+5.29","+8.64","11.9","11.35","11.35","10.65","12.25"
="2823","中壽","30.45","-0.49","-1.14","-1.3","-0.49","+1","+5","+5","+23","+47.5","28.75","28.55","24.15","21.9","31.25"
="2834","臺企銀","9.68","-1.02","-2.12","-2.22","-2.42","+0.73","+2.33","-0.72","+0.73","-1.83","9.45","9.39","9.36","9.1","10.3"
