"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一年最高股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="0050","元大台灣50","141.8","+1.07","+2.75","+2.64","+0.96","-0.46","+4.07","+1.36","+3.05","+22.9","136.15","130.9","130.2","115","143.55","-4.18","-35.2","-4","-3.43"
="006208","富邦台50","79.9","+1.14","+2.57","+2.7","+0.82","-0.37","+1.91","-0.37","+1.01","+23.3","77.6","75.45","74.8","64.55","82.35","-27.6","-57.4","-1.02","-1.69"
"00631L","元大台灣50正2","137.25","+1.37","+4.21","+4.69","+0.66","-1.86","+8.11","+4.73","+9.89","+71","127.45","114.4","114.4","79.55","141.3","9.5","-4.46","+3.59","-3.26"
="00692","富邦公司治理","35.08","+0.86","+2.15","+2.45","+0.57","-0.65","-0.93","-1.93","-0.88","+21.9","34.07","33.82","33.51","28.7","36.78","-7.31","-53","0","0"
="00713","元大台灣高息低波","41.92","-0.14","+0.84","+0.77","-0.99","-2.74","-5.24","-4.77","-3.01","+23.5","41.22","41.22","41.22","33.81","46.35","-53.2","-36.1","0","0"
="00757","統一FANG+","51.7","-2.91","-2.82","-2.27","-3.54","-4.88","-4.7","+2.07","+13.2","+24.9","51.6","46.9","44.89","40.82","55.2","-75.2","-66.6","-0.23","-0.2"
"00768B","FH20年美債","71.85","+0.98","+1.27","+1.48","+3.53","+3.38","+3.38","+2.72","+10.6","-5.52","68.5","67.3","64.75","64.3","76.05","97.5","96.1","",""
="00878","國泰永續高股息","18.55","0","+0.71","+0.82","-0.91","-1.17","+1.15","+2.77","+0.71","+19.4","18.25","17.77","17.35","15.54","19.28","-39.5","-57.1","0","-0.02"
="1303","南亞","83.8","+0.36","+1.58","+1.33","-2.9","-2.56","-1.41","-4.23","-3.57","+27.7","82","82","80.3","65.6","93.1","-13.9","-34.9","-1.57","-0.71"
="1529","樂士","19.6","+2.08","+5.95","+7.99","+13.6","+10.4","+17.4","+18.4","+16.3","+14","16","15.55","15.1","14.85","19.95","7.88","2.21","+0.21","+0.33"
="1560","中砂","88.7","+0.23","+0.68","+2.78","-0.34","-0.11","+12.3","+20","+36.5","+42.8","77.8","65.4","62.2","57.6","94.3","-4.19","3.76","-0.27","-0.18"
="1570","力肯","24.15","-1.02","+4.09","+2.55","+2.33","+20.1","+20.4","+40.8","+48.2","+85.1","19.4","16.35","15.5","12.75","25.95","-4.86","-3.04","+0.34","+5.13"
="1611","中電","16.55","+9.97","+17.4","+25.9","+17","+4.42","+18.6","+58.4","+41.5","+38.5","12.7","9.95","9.95","9.48","16.55","-1.68","-0.08","+5.26","+4.65"
="1722","台肥","67.8","-1.17","-0.73","-1.02","-3.56","-1.74","+0.59","+21.1","+18.3","+27.7","66.8","55.1","55.1","49.95","73.2","-21.3","-9.74","+0.37","+0.12"
="2303","聯電","66.7","-0.45","+4.71","+6.89","+5.87","+5.71","+13.1","+4.22","+21.3","+60.9","58.5","56.4","50.2","41.7","72","9.49","6.42","+0.71","+0.72"
="2330","台積電","615","+2.5","+3.19","+3.71","+1.99","+0.33","+3.89","+1.32","+3.19","+23.2","585","560","551","495","679","15.5","4.71","+0.35","-0.06"
="2347","聯強","59.5","+0.51","+1.88","+2.76","-1.16","+3.66","+9.38","+11.8","-1","+32.7","54.5","50.5","49.8","44.2","62.3","11.2","0.88","+0.22","+0.16"
="2356","英業達","25.55","-2.67","-0.97","-1.92","-1.73","-3.4","-3.95","+4.93","-2.29","+8.49","25.2","24.15","23.1","22.65","28","13.8","12.5","-1.02","-2.03"
="2374","佳能","23.05","-5.14","-4.75","-1.91","-0.22","+5.73","+12.7","+48.7","+48.7","+66.4","18.55","14.45","14.45","13.45","25.45","-1.35","-2.6","+0.89","+0.85"
="2376","技嘉","136.5","-1.8","+0.37","+3.41","+1.87","-1.44","+15.2","+53.7","+19.7","+73","117","83","80.5","74.6","148","-9.17","-0.79","-0.78","-0.47"
="2383","台光電","269","-3.76","-3.93","-3.93","-0.19","+15.9","+17.7","+15.9","+68.7","+70.3","226.5","200","157","141.5","293.5","14.9","16.2","-5.71","-6.06"
="2412","中華電","114","+0.88","+1.79","+1.33","+0.44","-0.87","+3.17","+2.7","0","+4.59","110","110","109","108","118.5","-9.79","-16.3","+0.63","+0.93"
="2454","聯發科","1080","+1.41","+6.93","+4.85","+4.35","-0.46","+16.4","+15.8","+10.1","+51.7","926","839","839","689","1185","14.9","12","+1.18","+0.86"
="2497","怡利電","65.8","-4.08","-0.9","+8.94","+21","+49.5","+74.5","+90.2","+125","+122","37.2","28.6","27.7","25.4","69.7","9.39","3.49","+2.7","+9.99"
="2534","宏盛","22.6","0","+0.89","+2.26","-3.42","-4.03","-5.04","+7.88","+9.71","","21.95","20.3","19.3","17.85","24.9","-10.3","-28","-0.09","-0.1"
="2537","聯上發","10.45","-0.95","+1.46","+0.97","-2.34","-2.34","+8.18","+7.4","+12","+0.97","9.69","9.3","8.98","7.92","11.15","22.1","6.1","0","-0.01"
="2538","基泰","14.25","-4.04","-5.32","+1.42","-2.73","+8.78","+8.37","+16.8","+42.8","+33.8","12.75","11.3","9.8","9.2","15.8","-14","-7.82","+0.46","+0.32"
="2542","興富發","46.3","-0.86","+0.22","-0.32","-1.7","-0.64","+3.58","-4.04","+10.6","+4.4","44.4","44.15","41.25","40.4","49.8","-12.4","-5.76","-3.45","+0.02"
="2633","台灣高鐵","29.9","0","+0.84","+1.36","-2.29","+1.87","+3.28","+0.17","-0.83","-3.7","28.8","28.2","28.2","26.8","31.8","2.16","2.74","-0.2","+0.08"
="2801","彰銀","16.55","-0.6","+0.91","-0.9","-3.78","-4.34","0","+0.3","-2.36","-5.97","16.4","16.1","15.95","15.95","18.3","-42.4","-42.3","-2.7","-2.61"
="2809","京城銀","40.55","-0.12","+0.75","+0.5","-0.98","-2.99","-1.46","-8.26","+0.37","+5.87","40.05","40.05","39.25","37.55","44.6","-55.2","-49.3","0","-0.15"
="2812","台中銀","11.95","-0.42","+0.42","0","-1.24","-2.05","-0.42","+3.02","+3.46","+9.13","11.9","11.35","11.35","10.65","12.25","-27.3","-18","0","-0.45"
="2823","中壽","30.5","-0.16","-0.49","+0.16","-0.97","-2.09","+4.99","+6.09","+22.5","+37.7","28.75","28.55","24.15","21.9","31.25","29.2","31.8","0","+0.07"
="2834","臺企銀","9.62","-0.21","+0.21","-0.62","-2.73","-3.32","+1.37","-0.52","-0.31","-2.34","9.45","9.39","9.36","9.1","10.3","-50.7","-36","0","+0.03"
="2845","遠東銀","10.45","-0.48","-0.48","-0.48","-1.42","-3.69","-0.48","-4.57","-1.88","-1.88","10.4","10.3","10.3","10.2","11.2","7.1","-3.7","-0.03","0"
="2880","華南金","20.55","-0.24","+1.73","+0.49","-1.44","-3.07","+0.49","-0.48","+11.7","+13.5","20.2","19.95","18","17.15","21.35","-18.7","-26.6","+0.25","0"
="2882","國泰金","59.5","-0.67","-0.83","+0.34","-3.41","-5.56","+3.66","+1.36","+6.63","+46.9","57.3","55.4","51.5","39.9","63.5","-13.3","-24.2","-0.14","-0.78"
="2883","開發金","16.15","-0.62","-1.52","-0.31","-3.87","-5.56","+14.1","+17.5","+27.2","+80.9","14.1","13.65","12.1","8.86","17.5","-15.5","-13.8","-2.01","+7.55"
="2884","玉山金","27.7","+0.54","+2.78","+1.84","-0.72","-0.89","+3.75","+5.52","+6.74","+9.49","26.55","25.8","25.35","23.6","28.25","0.15","-10.3","+0.22","-3.04"
="2886","兆豐金","34.25","+0.29","+0.15","+1.03","-0.72","-1.3","+2.85","+6.7","+3.79","+17.3","33.15","31.85","30.6","28.15","34.75","-12","-18.1","+1.64","+1.58"
="2887","台新金","18.6","-0.27","0","+2.2","-0.53","-3.63","+2.48","-1.33","+22","+39.8","18","17.65","14.7","12.5","19.7","0.74","-10.3","-0.03","-0.05"
="2890","永豐金","15.15","0","-0.98","+1","-2.26","-0.33","+7.07","+8.21","+10.6","+34.7","14","13.65","13.2","10.95","15.65","0.42","2.59","+0.12","-0.49"
="2891","中信金","25","+0.6","+2.46","+2.88","+0.2","+1.01","+8.23","+10.1","+9.17","+28.2","23.05","22.2","21.05","19","25","20","9.76","+0.45","+0.62"
="2892","第一金","23.7","+0.42","+2.6","+1.72","-0.42","-1.25","+3.27","+4.87","+6.52","+11","22.8","22.1","21.9","20.2","24.05","-8.11","-15.9","-0.06","-1.15"
="2912","統一超","277.5","+0.36","+3.16","0","-2.46","-4.97","-1.6","-0.36","+4.13","+4.72","269","267.5","258","253.5","294","-17.2","-17.3","-0.46","-0.61"
="3016","嘉晶","148","-0.34","+1.37","-0.34","+1.37","+13.8","+38.3","+63.7","+117","+120","95.5","75.8","64.9","54.7","154","5","6.37","-3.22","-3.32"
="3017","奇鋐","86","-2.82","-2.71","-0.58","+0.23","+2.99","+7.23","+14.8","+18.3","+19.1","78.6","71.2","66.8","52.5","92.3","8.27","9.19","+0.01","+0.09"
="3019","亞光","97","-4.43","-2.12","+3.08","+2.11","+7.06","+12.5","+17.6","+18.4","+31.3","83.9","70","70","66.5","103.5","2","0.39","+0.28","+0.32"
="3028","增你強","31.5","-3.23","-0.63","+1.45","-0.63","+1.45","+9.76","+11.9","+11.3","+44.8","28.7","27.5","26.85","21.5","32.7","1.86","-0.6","-0.04","+0.01"
="3037","欣興","213","-4.7","-6.58","0","+1.19","+10.6","+8.67","+44.4","+75.3","+150","182.5","115","115","80","229.5","-6.31","-5.1","-0.2","-0.26"
="3045","台灣大","98.8","+0.51","+1.86","+0.61","0","-1.69","+0.82","+0.3","-1.69","+1.13","97","97","96","95.5","109.5","-29.6","-34.5","0","0"
="3169","亞信","261","-3.15","+6.53","+3.78","-1.32","+16.3","+62.1","+91.9","+104","+539","158.5","112","112","40.05","283.5","-1.09","0.13","+1.95","-1.82"
="3290","東浦","22.1","+7.54","+10.8","+16.9","+21.4","+37.3","+46.8","+74.7","+73.3","+32.3","14.75","12.35","12.05","11.55","22.2","0.03","1.08","+3.5","+4.41"
="3294","英濟","32.6","+3","+13.2","+24.4","+45.2","+43","+42.7","+90.6","+50.2","+50.2","21.05","16.2","16.2","16.2","34.8","0.25","0.19","+1.96","+3.79"
="3338","泰碩","62.2","+9.89","+12.5","+15.2","+7.99","+41.4","+56.5","+41","+25.9","-8.66","39.55","35.8","35.8","35.8","68.9","-2.82","-1.56","+2.7","+1.37"
="3363","上詮","34.6","-2.54","+1.47","+5.33","+0.58","-0.43","+9.49","+35.4","+33.3","+17.3","31.05","25.05","24.35","22.05","38","10.6","12.4","+0.97","-0.49"
="3515","華擎","246.5","-1.4","+3.14","+9.07","+4.45","-0.6","+38.9","+78","+48.9","+46.7","174","137.5","125","125","260.5","3.63","3.95","+1.08","+1.66"
="3532","台勝科","257","-2.65","+2.8","+6.2","+9.83","+35.3","+53.4","+41.2","+46","+77.2","160","138.5","138.5","124.5","266","2.75","1.45","+2.96","+2.25"
="3583","辛耘","79.3","-2.22","-1.86","+0.51","-6.15","+0.38","+9.38","+17.7","+29.2","+16.6","71.9","62.2","58.1","51.8","87.5","0.99","-5.22","-0.79","-1.29"
="3653","健策","441","+0.34","+0.46","+4.01","+6.27","+11.4","+8.49","+43.6","+56.4","+58.6","373","285.5","276.5","202","447.5","11.9","13.4","+1.86","+4.79"
="3701","大眾控","86.4","-6.59","-1.03","+8.82","+16.3","+46.9","+54","+292","+502","+567","52.6","22.6","13.4","12.8","94.5","2.27","0.85","+0.45","+18.6"
="3706","神達","31.7","-1.4","-0.94","0","-3.65","-1.25","+10.3","+12","+10.6","+7.09","28.7","27.35","26.85","25.3","35","-17.1","0","-0.17","+0.01"
="4904","遠傳","63.4","+0.79","+3.09","+1.44","0","-2.46","+2.76","+4.62","-2.91","+4.45","61.2","60.3","60","59.8","66.8","-5.31","-2.7","0","0"
="4966","譜瑞-KY","2090","-0.24","-1.88","+0.48","+1.7","-1.65","+16.8","+11.5","+41.2","+104","1775","1520","1360","1030","2240","-7.21","-9.18","-0.25","+3.11"
="5347","世界","165","+4.76","+6.45","+10.4","+8.91","+5.77","+4.43","+7.84","+43.5","+51.4","143","136","110","98.5","177","23.2","16.7","+3.13","+3.18"
="5483","中美晶","205","-0.73","-0.97","0","-3.53","+4.59","+7.05","+8.18","+18.5","+33.1","189","168","160","140","225","-2.45","-7.08","+0.39","+0.25"
="5607","遠雄港","57.6","-3.52","+4.54","+7.46","+5.3","+6.08","+13.6","+47.7","+58.7","+95.9","50.4","36.2","33.6","25.7","60","-6.82","-2.35","-2.48","-2.49"
="5876","上海商銀","47","+0.97","+1.4","+2.73","-0.42","+0.64","+5.86","+7.43","+2.84","+17.8","43.8","42.6","40.2","37.4","48.15","4.21","-8.66","+0.15","+0.21"
="5880","合庫金","23.9","+0.21","+0.63","+1.49","0","0","+4.82","+8.39","+13","+18.3","22.65","21.6","20.8","19.15","23.95","-0.23","-1.53","+0.22","+1.45"
="6104","創惟","185.5","-4.38","+1.64","+0.27","+2.49","-2.37","+30.6","+17.8","+203","+151","131.5","112","58.8","48","204.5","-5.53","-0.06","-1.81","-0.32"
="6138","茂達","254","-5.22","-1.36","-0.78","+4.74","+6.5","+37.3","+39.9","+77.6","+192","173","140.5","134.5","78.2","278.5","-2.13","-2.26","-0.24","-2.26"
="6182","合晶","85.4","-1.5","+4.4","+0.59","+7.15","+26.1","+30.4","+24.1","+62","+121","63.4","54.5","49.3","37.6","88.4","1.17","0.15","-0.6","+2.66"
="6191","精成科","37.7","-1.31","+0.13","+2.45","-1.69","-0.4","+5.9","+13.9","+17.6","+56.1","35.7","30","30","23.2","41","2.58","-3.15","+0.11","+0.08"
="6196","帆宣","152.5","-1.61","+0.66","+4.81","+0.99","-0.65","+30.9","+34.4","+46.6","+34.4","115","104","99","87","165","4.95","8.08","+2","+1.33"
="6205","詮欣","55","-3.51","-0.9","+8.91","+11","+11.8","+30.6","+81.5","+78","+10.4","39.25","29.6","28.5","27.15","57.8","-5.48","-3.95","+2.45","+0.47"
