"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="0050","元大台灣50","141.75","-0.04","+1.03","+2.72","+2.61","-0.74","+3.77","-0.11","+3.5","+22.8","136.15","130.9","130.2","115.9","143.55","143.55","143.55","143.55","45.3","-12.4","-1.24","-4.72"
="0056","元大高股息","32.65","+0.55","+0.46","+1.08","+0.93","-0.85","+2.77","-1.77","-6.1","+10.9","31.71","30.59","30.59","29.35","33.18","33.59","36.05","36.17","21.3","13.6","+3.45","+0.19"
="006208","富邦台50","79.85","-0.06","+1.08","+2.5","+2.24","-0.75","+1.53","-1.66","+1.59","+23.2","77.6","75.45","74.8","64.85","81.15","82.35","82.35","82.35","16.2","-35.5","0","-1.35"
"00631L","元大台灣50正2","137.6","+0.26","+1.62","+4.48","+4.76","-1.43","+7.46","+2","+11.5","+71.3","127.65","114.4","114.4","80.8","141.3","141.3","141.3","141.3","11.8","-1.81","+3.82","-7.6"
"00642U","期元大S&P石油","12","+2.56","-0.33","-2.44","-10.8","-13.9","-16.8","-0.25","+2.83","+48.7","11.61","11.61","10.86","8","14.67","14.75","14.75","14.75","-56","-58.2","+3.67","+10.2"
"00669R","國泰美國道瓊反1","7.88","-1.01","+0.25","+0.64","+1.68","+3.55","+3.01","+1.68","-2.11","-17.3","7.55","7.55","7.55","7.55","7.99","8.17","8.41","9.5","65.9","59.5","+0.18","+0.23"
="00692","富邦公司治理","35.11","+0.09","+0.95","+2.24","+2.18","-0.68","-1.24","-3.22","-0.26","+21.8","34.07","33.82","33.51","28.89","36.78","36.78","36.78","36.78","9.51","-29","0","-0.24"
="00712","FH富時不動產","13.67","+2.01","-1.01","-2.5","-3.19","-3.66","-5.07","-4.74","-6.11","+9.36","13.39","13.39","13.39","12.29","14.59","14.59","15.21","15.21","-61.9","-65.9","+3.24","+3.24"
="00713","元大台灣高息低波","42.06","+0.33","+0.19","+1.18","+0.6","-1.84","-5.25","-5.1","-2.09","+24.2","41.22","41.22","41.22","33.81","46.35","46.35","46.35","46.35","-37","-28.5","0","0"
"00756B","群益15年EM主權債","43.6","+1.09","+1.73","+1.89","+1.32","+0.58","-0.64","-2.48","+1.58","-10.2","42.4","42.4","42.4","42.1","44.66","45.06","45.42","48.55","98.7","97.5","",""
="00757","統一FANG+","51.1","-1.16","-4.04","-3.95","-3.77","-5.55","-4.58","+0.99","+13.4","+23.6","50.85","46.9","45.53","40.82","55.2","55.2","55.2","55.2","-79.7","-77.5","-0.53","-1.21"
"00768B","FH20年美債","72.25","+0.56","+1.55","+1.83","+2.48","+4.03","+3.21","+2.85","+11.6","-4.37","68.5","67.3","65.4","64.3","72.25","72.25","72.25","75.75","97.8","96.1","",""
