"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="0050","元大台灣50","142","-0.25","+0.14","+0.46","+0.14","+1.1","+0.92","+1.21","+3.2","+18.3","137.5","130.9","130.2","116.75","143.6","143.6","143.6","143.6","58.3","39.6","+3.57","+2.23"
="0056","元大高股息","33.32","+0.42","+0.88","+1.4","+2.62","+2.05","+3","+1.15","-3.7","+10.6","31.96","30.59","30.59","29.35","33.41","33.59","36.05","36.17","62.1","50.7","+6.41","+10.1"
="00636","國泰中國A50","26.27","+3.1","+4.16","+4.79","+6.7","+5.38","+6.49","+9.28","-8.47","-0.42","24.08","23.2","22.97","22.97","26.31","26.31","28.79","32.35","60.7","57.2","0","0"
"00642U","期元大S&P石油","12.9","+1.74","+3.78","+7.32","+10.3","-6.72","-9.47","+7.86","+8.95","+60.6","11.61","11.61","10.86","8","14.67","14.75","14.75","14.75","32.8","15.4","-23.4","-25"
"00669R","國泰美國道瓊反1","7.64","+0.26","-0.91","-2.55","-4.02","+0.26","+0.92","-3.29","-4.98","-18.5","7.57","7.55","7.55","7.55","7.99","8.17","8.41","9.5","-51.5","-35.7","-0.23","-0.23"
="00692","富邦公司治理","35.29","+0.09","+0.4","+0.63","+0.6","+1.18","-3.5","-1.64","0","+18.3","34.07","33.82","33.51","29.07","36.78","36.78","36.78","36.78","17.9","-10.2","0","0"
="00712","FH富時不動產","13.97","+0.22","+1.09","+2.8","+4.25","-1.83","-3.85","-0.71","-7.85","+10.1","13.39","13.39","13.39","12.29","14.53","14.59","15.18","15.21","-13.2","-18.4","-0.55","-0.65"
="00757","統一FANG+","52.15","0","+2.86","+5.33","+0.87","-2.71","-4.31","+2.96","+13.3","+24.4","49.45","46.9","45.88","40.82","54.45","55.2","55.2","55.2","-44.3","-70.6","-0.12","-0.38"
="00877","FH中國5G","14.01","+2.86","+5.82","+4.16","+4.4","+2.49","+7.94","+11.8","+11.2","-0.28","12.86","11.81","11.81","10.93","14.03","14.03","14.03","14.85","71.5","71.3","+0.06","+0.08"
="00878","國泰永續高股息","18.82","+0.11","+0.32","+0.64","+1.46","+0.53","+0.91","+4.5","+3.18","+16.6","18.25","17.77","17.35","15.65","18.88","18.88","18.88","19.28","24.5","9.7","+0.16","+0.18"
="00881","國泰台灣5G+","18.34","-0.27","+0.33","+0.16","-0.05","+1.38","+2.17","+4.56","+4.03","+21.4","17.61","16.38","16.38","14.67","18.55","18.55","18.55","18.9","38.3","31.9","+0.29","-0.16"
="020022","元大電動車N","5.63","+0.72","+1.26","+2.55","+3.87","+2.18","+2.93","+7.85","-2.6","+10.6","5.31","4.9","4.9","4.9","5.69","5.69","5.92","6.87","69.2","71","",""
="1101","台泥","47.4","-0.63","-0.32","+0.21","+2.38","+0.53","-2.87","-1.66","-7.96","+9.34","45.95","45.95","45.65","40.15","48.95","52","54.5","58.7","13.6","8.04","-0.02","-0.36"
="1102","亞泥","43.5","0","+0.58","+0.81","+2.59","+2.72","-2.9","-1.92","-14","-0.91","42","42","42","40","45.75","46.65","53.6","54.3","10.8","11.5","+1.54","-0.23"
="1216","統一","68.9","+0.73","+0.58","+2.38","+1.77","+1.17","+2.38","+2.53","-5.75","+5.35","65.4","65.4","65.4","64.2","68.9","70.4","76","76.9","10.6","8.58","+2.22","+2.77"
="1236","宏亞","25.55","+0.2","+10.1","+21.1","+21.4","+26.2","+80.6","+83.2","+61.7","+81.2","14.15","13.75","13.5","13","25.7","25.7","25.7","25.7","-0.24","0","+7.09","+4.38"
="1301","台塑","105","+0.48","+1.45","+0.96","+1.45","0","-2.33","+5.95","-0.47","+16.7","101.5","98.7","95.6","86.6","108.5","121","121","121","12.8","7.4","-0.1","-0.45"
="1303","南亞","84.8","+0.24","+0.12","+0.71","+1.19","-1.74","-1.17","-2.53","-1.17","+26.4","82","82","80.3","65.6","86.5","93.1","93.1","93.1","14.5","7.5","+0.21","+0.09"
