"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="0050","元大台灣50","142","-0.25","+0.46","+0.14","+1.1","+0.92","+1.21","+3.2","+18.3","143.6","143.6","143.6","143.6","143.6","143.6","143.6","140.35","140","137.5","137.5","130.9","130.2","116.75","58.3","39.6","+3.57","+2.23"
="0056","元大高股息","33.32","+0.42","+1.4","+2.62","+2.05","+3","+1.15","-3.7","+10.6","33.41","33.41","33.41","33.41","33.59","36.05","36.17","32.82","32.53","31.96","31.96","30.59","30.59","29.35","62.1","50.7","+6.41","+10.1"
="006205","富邦上証","38.45","+2.51","+3.69","+5.28","+4.48","+5.66","+4.14","-2.81","+3.06","38.56","38.56","38.56","38.56","38.56","39.4","43.55","36.98","36.5","36.25","35.69","35.26","34.83","34.83","42.3","36.1","+0.04","+0.04"
="006208","富邦台50","80.25","+0.06","+0.63","+0.44","+1.26","-0.62","-0.43","+1.45","+19.2","80.85","80.85","80.85","81.05","81.45","82.35","82.35","79.2","79","77.6","77.6","75.45","74.8","65.65","20.8","3.28","0","0"
"00631L","元大台灣50正2","139.85","+0.04","+2.08","+1.89","+2.57","+3.44","+7.04","+12.6","+63.4","141.5","141.5","141.5","141.5","141.5","141.5","141.5","135.4","134.45","129.5","129.5","114.4","114.4","81.25","13.1","6.58","-6.52","-12"
"00635U","期元大S&P黃金","23.74","-0.13","+0.21","+0.51","-0.46","-2.14","-0.46","-6.02","-6.09","23.8","23.8","23.93","24.91","24.91","25.45","26.49","23.62","23.48","23.48","23.48","23.06","23.05","22.68","-23.7","-72.4","+0.01","-2.96"
="00636","國泰中國A50","26.27","+3.1","+4.79","+6.7","+5.38","+6.49","+9.28","-8.47","-0.42","26.31","26.31","26.31","26.31","26.31","28.79","32.35","25.06","24.56","24.39","24.08","23.2","22.97","22.97","60.7","57.2","0","0"
"00638R","元大滬深300反1","7.73","-3.13","-4.57","-6.53","-5.73","-6.64","-8.74","+4.74","-7.43","8.1","8.3","8.34","8.45","8.73","8.92","8.92","7.7","7.7","7.7","7.7","7.7","7.41","6.7","-31.6","-19.3","-0.09","-0.29"
="00639","富邦深100","17.26","+2.31","+3.04","+4.16","+3.48","+4.48","+8.21","-1.37","+9.03","17.29","17.29","17.29","17.29","17.29","17.67","19.98","16.55","16.55","16.47","16.16","15.4","15.4","15.4","38.2","31.2","+0.28","+0.21"
"00642U","期元大S&P石油","12.9","+1.74","+7.32","+10.3","-6.72","-9.47","+7.86","+8.95","+60.6","12.94","12.94","13.67","14.67","14.75","14.75","14.75","12.33","11.77","11.61","11.61","11.61","10.86","8","32.8","15.4","-23.4","-25"
"00669R","國泰美國道瓊反1","7.64","+0.26","-2.55","-4.02","+0.26","+0.92","-3.29","-4.98","-18.5","7.74","7.92","7.99","7.99","8.17","8.41","9.5","7.61","7.61","7.61","7.57","7.55","7.55","7.55","-51.5","-35.7","-0.23","-0.23"
"00675L","富邦臺灣加權正2","54.65","0","+2.15","+2.15","+2.44","+3.7","+8","+14.1","+66.4","55.3","55.3","55.3","55.3","55.3","55.3","55.3","52.95","52.5","50.5","50.5","44.4","44.4","31.24","-61.8","-66.2","-9.77","-10"
="00692","富邦公司治理","35.29","+0.09","+0.63","+0.6","+1.18","-3.5","-1.64","0","+18.3","35.5","35.5","35.5","36.78","36.78","36.78","36.78","34.85","34.76","34.07","34.07","33.82","33.51","29.07","17.9","-10.2","0","0"
="00712","FH富時不動產","13.97","+0.22","+2.8","+4.25","-1.83","-3.85","-0.71","-7.85","+10.1","13.98","13.98","14.25","14.53","14.59","15.18","15.21","13.73","13.53","13.39","13.39","13.39","13.39","12.29","-13.2","-18.4","-0.55","-0.65"
="00713","元大台灣高息低波","42.35","+0.02","+0.62","+1.03","+0.02","-6.01","-2.67","-0.33","+23.7","42.42","42.42","42.42","46.35","46.35","46.35","46.35","41.98","41.85","41.22","41.22","41.22","41.22","33.81","-15.4","-22.7","0","0"
