"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="0050","元大台灣50","142.35","+0.39","+0.71","+0.42","+1.46","+1.32","+2.26","+1.21","+5.06","+18.6","137.5","130.9","130.2","116.75","143.6","143.6","143.6","143.6","35.6","44.7","+0.63","-0.38"
="0056","元大高股息","33.18","+0.45","+0.97","+1.62","+2.09","+1.75","+2.44","+1.16","-3.69","+11","31.96","30.59","30.59","29.35","33.31","33.59","36.05","36.17","47.6","40.8","+7.57","+9.9"
="006208","富邦台50","80.2","+0.31","+0.56","+0.44","+1.52","+1.2","+0.19","-0.56","+3.15","+19.2","77.6","75.45","74.8","65.65","81.15","81.45","82.35","82.35","-0.24","9.9","0","0"
"00631L","元大台灣50正2","139.8","+1.19","+2.04","+1.6","+3.25","+2.53","+5.35","+7.21","+15.7","+64.4","129.5","114.4","114.4","81.25","141.5","141.5","141.5","141.5","2.44","5.84","-10.6","-11.8"
"00632R","元大台灣50反1","5.26","-0.38","-0.75","-0.75","-1.5","-1.13","-2.77","-4.54","-9.15","-27.2","5.22","5.22","5.22","5.22","5.47","5.86","5.9","7.39","7.34","-11.2","+0.07","-0.06"
"00635U","期元大S&P黃金","23.77","+0.59","+0.34","+0.93","+0.46","-0.46","-1.82","-0.83","-6.23","-6.6","23.48","23.06","23.05","22.68","24.91","24.91","25.45","26.49","-73","-72.3","+0.43","-2.72"
="00636","國泰中國A50","25.48","+1.03","+1.64","+3.07","+4.04","+1.8","+1.92","+5.25","-9.84","-3.92","24.08","23.2","22.97","22.97","25.54","26.04","28.79","32.35","43.5","37.2","0","0"
"00638R","元大滬深300反1","7.98","-0.99","-1.48","-3.04","-4.09","-2.21","-2.68","-5","+6.54","-3.97","7.96","7.89","7.37","6.7","8.45","8.73","8.92","8.92","-8.33","-1.12","-0.03","-0.09"
"00642U","期元大S&P石油","12.68","+2.01","+5.49","+5.67","+5.32","-8.78","-11.5","+7.19","+6.02","+57.1","11.61","11.61","10.86","8","14.67","14.75","14.75","14.75","18.2","-25.6","-25.5","-25.1"
"00648R","元大S&P500反1","6.43","-1.98","-3.02","-2.87","-2.28","-0.62","-0.92","-5.02","-12","-24.7","6.42","6.42","6.42","6.42","6.7","7.14","7.46","8.64","-2.72","12.4","-0.03","+0.06"
